DatTime,MediaTime,LonAccel,LatAccel,Throttle,Brake,Gear,Heading,HeadwayDistance,HeadwayTime,Lane,LaneOffset,RoadOffset,Steer,Velocity,XPos,YPos,LeadVehPosX,LeadVehPosY,FollowCarBrakingStatus
0.7905,1.399999,2.3e-05,0.000424,1.308809,0.0,0,359.999341,91.042786,47945.2038865,2.0,0.021679,5.421679,-0.005929,0.00019300000000000003,-741.042786,14.521677,2.310232,1629.744985,0.0
0.824,1.433332,2.95e-05,0.000682,1.308809,0.0,0,359.999322,91.042725,31701.0704415,2.0,0.021679,5.421679,-0.005929,0.002944,-741.042725,14.521677,2.310232,1629.744985,0.0
0.8565,1.466665,2.1000000000000002e-05,0.000281,1.308809,0.0,0,359.999306,91.0426335,25689.362264,2.0,0.0216785,5.4216785000000005,-0.005929,0.003552,-741.0426335,14.5216765,2.310232,1629.744985,0.0
0.89,1.499999,1.5e-06,-0.0006755,1.308809,0.0,0,359.9993005,91.04251099999999,49187.5354915,2.0,0.021678,5.421678,-0.005929,0.002015,-741.042511,14.521676,2.310232,1629.744985,0.0
0.924,1.533332,-1.75e-05,-0.0017000000000000001,1.308809,0.0,0,359.999308,91.04248,258096.5828475,2.0,0.0216785,5.4216785000000005,-0.005929,-0.000366,-741.04248,14.5216765,2.310232,1629.744985,0.0
0.957,1.566665,-2.5e-05,-0.002269,1.308809,0.0,0,359.9993215,91.042542,10000.0,2.0,0.021679,5.421679,-0.005929,-0.002105,-741.042542,14.521677,2.310232,1629.744985,0.0
0.99,1.599998,-1.8e-05,-0.0021415,1.308809,0.0,0,359.999333,91.042603,10000.0,2.0,0.021679,5.421679,-0.005929,-0.0022015,-741.042603,14.521677,2.310232,1629.744985,0.0
1.024,1.633332,-4e-06,-0.0015370000000000002,1.308809,0.0,0,359.99933550000003,91.042664,10000.0,2.0,0.021679,5.421679,-0.005929,-0.000898,-741.042664,14.521677,2.310232,1629.744985,0.0
1.0565,1.666665,8.000000000000001e-06,-0.000864,1.308809,0.0,0,359.999329,91.042664,147673.89621,2.0,0.021679,5.421679,-0.005929,0.0008010000000000001,-741.042664,14.521677,2.310232,1629.744985,0.0
1.09,1.699998,1.2e-05,-0.00043400000000000003,1.308809,0.0,0,359.9993185,91.042603,50334.7818595,2.0,0.021679,5.421679,-0.005929,0.001817,-741.042603,14.521677,2.310232,1629.744985,0.0
1.1245,1.733332,6e-06,-0.000335,1.308809,0.0,0,359.99931,91.042542,62256.461036,2.0,0.021678,5.421678,-0.005929,0.001463,-741.042542,14.521676,2.310232,1629.744985,0.0
1.1564999999999999,1.766665,-1.0000000000000002e-06,-0.000413,1.308809,0.0,0,359.9993105,91.04251099999999,241801.2683275,2.0,0.021678,5.421678,-0.005929,0.000567,-741.042511,14.521676,2.310232,1629.744985,0.0
1.19,1.799998,-8e-06,-0.00043599999999999997,1.308809,0.0,0,359.999315,91.042542,10000.0,2.0,0.021679,5.421679,-0.005929,-0.000659,-741.042542,14.521677,2.310232,1629.744985,0.0
1.2240000000000002,1.833331,-7.499999999999999e-06,-0.00022349999999999998,1.308809,0.0,0,359.9993225,91.042542,10000.0,2.0,0.021679,5.421679,-0.005929,-0.0013024999999999998,-741.042542,14.521677,2.310232,1629.744985,0.0
1.2565,1.866665,-2e-06,0.00019250000000000002,1.308809,0.0,0,359.9993275,91.042603,10000.0,2.0,0.021679,5.421679,-0.005929,-0.001105,-741.042603,14.521677,2.310232,1629.744985,0.0
1.29,1.899998,4.5e-06,0.000655,1.308809,0.0,0,359.9993275,91.042603,10000.0,2.0,0.021679,5.421679,-0.005929,-0.000321,-741.042603,14.521677,2.310232,1629.744985,0.0
1.3239999999999998,1.933331,7.499999999999999e-06,0.0009525,1.308809,0.0,0,359.999324,91.042603,215907.8279245,2.0,0.021679,5.421679,-0.005929,0.000472,-741.042603,14.521677,2.310232,1629.744985,0.0
1.3565,1.966665,6e-06,0.0010110000000000002,1.308809,0.0,0,359.999319,91.042603,111909.0097315,2.0,0.021679,5.421679,-0.005929,0.000812,-741.042603,14.521677,2.310232,1629.744985,0.0
1.3904999999999998,1.999998,1.5e-06,0.0008435000000000001,1.308809,0.0,0,359.9993155,91.0425725,165230.971976,2.0,0.021679,5.421679,-0.005929,0.0005744999999999999,-741.0425725,14.521677,2.310232,1629.744985,0.0
